supplier_id,category,region,jobs_observed,response_time_hours_raw,completion_time_hours_raw,cost_usd_raw,nte_compliance_raw,nte_successes,customer_rating_raw,ratings_observed,reopened_raw,reopened_events,historical_job_count_for_supplier,peer_response_time_hours,peer_completion_time_hours,peer_cost_usd,peer_nte_compliance,peer_customer_rating,peer_reopened,peer_jobs,peer_suppliers,category_response_time_hours,category_completion_time_hours,category_cost_usd,category_nte_compliance,category_customer_rating,category_reopened,category_jobs,category_suppliers,peer_blend_weight,comparison_level,comparison_group,comparison_label,comparison_group_suppliers,comparison_group_jobs,response_time_hours_baseline,completion_time_hours_baseline,cost_usd_baseline,nte_compliance_baseline,customer_rating_baseline,reopened_baseline,response_time_hours_raw_filled,response_time_hours_shrunk,response_time_hours_shrinkage_delta,completion_time_hours_raw_filled,completion_time_hours_shrunk,completion_time_hours_shrinkage_delta,cost_usd_raw_filled,cost_usd_shrunk,cost_usd_shrinkage_delta,nte_compliance_raw_filled,nte_compliance_shrunk,nte_compliance_shrinkage_delta,customer_rating_raw_filled,customer_rating_shrunk,customer_rating_shrinkage_delta,reopened_raw_filled,reopened_shrunk,reopened_shrinkage_delta,response_time_hours_z,response_time_hours_component_score,response_time_hours_contribution,completion_time_hours_z,completion_time_hours_component_score,completion_time_hours_contribution,cost_usd_z,cost_usd_component_score,cost_usd_contribution,nte_compliance_z,nte_compliance_component_score,nte_compliance_contribution,customer_rating_z,customer_rating_component_score,customer_rating_contribution,reopened_z,reopened_component_score,reopened_contribution,score_latent,score_performance,score_evidence_weight,score_overall,rank_overall,methodology_variant,confidence_score,confidence_label,bootstrap_score_p10,bootstrap_score_p50,bootstrap_score_p90,bootstrap_rank_p10,bootstrap_rank_p50,bootstrap_rank_p90,bootstrap_score_std,bootstrap_top_10_share,bootstrap_rank_interval_width,bootstrap_score_interval_width,score_conservative,rank_conservative,short_explanation,rank_range
SUP-023,Plumbing,Houston,14,2.142857142857143,22.099999999999998,625.0985714285715,0.8571428571428571,12.0,3.923076923076923,13,0.0,0.0,238.0,4.268627450980392,25.96470588235294,692.9482352941177,0.803921568627451,4.0,0.09803921568627451,51,5,5.175,25.379310344827587,689.9685344827586,0.7931034482758621,4.080645161290323,0.11206896551724138,116,12,1.0,category_region,category_region|Plumbing|Houston,Plumbing suppliers in Houston,5,51,4.268627450980392,25.96470588235294,692.9482352941177,0.803921568627451,4.0,0.09803921568627451,2.142857142857143,2.9158645276292336,0.7730073847720909,22.099999999999998,23.505347593582886,1.4053475935828885,625.0985714285715,649.7711764705883,24.672605042016812,0.8571428571428571,0.8349673202614379,-0.022175536881419156,3.923076923076923,3.9444444444444446,0.021367521367521736,0.0,0.04084967320261438,0.04084967320261438,1.9001278133980692,100.0,0.38002556267961385,1.841316307681852,100.0,0.3682632615363704,1.3478966147990517,100.0,0.20218449221985774,0.5096828751906266,75.0,0.07645243127859398,-0.35304600206870806,25.0,-0.03530460020687081,1.0873507816232257,100.0,0.21747015632464517,1.2090913038322102,62.0909130383221,0.8366600265340756,60.11598362346377,1,shrunk,0.9347239980752376,High,56.94649807418668,59.616050354643825,61.23600302856768,1.0,1.0,3.0,1.8502381779096067,0.99,2.0,4.289504954381002,56.94649807418668,1,"Compared with Plumbing suppliers in Houston, this supplier stands out for fast response times and fast completion times across 14 jobs. Weaker customer ratings reduced the score.",1-3
SUP-030,Electrical,Phoenix,11,6.818181818181818,24.0,846.3572727272727,0.8181818181818182,9.0,4.285714285714286,7,0.0,0.0,101.0,7.02,23.953333333333333,867.2860000000001,0.8,4.35,0.0,15,2,7.6734939759036145,27.726506024096388,761.4689156626506,0.7951807228915663,4.106060606060606,0.10843373493975904,83,11,0.5,category,category|Electrical,Electrical suppliers overall,11,83,7.346746987951807,25.83991967871486,814.3774578313253,0.7975903614457831,4.2280303030303035,0.05421686746987952,6.818181818181818,7.0407355738744455,0.22255375569262714,24.0,24.774703022616784,0.7747030226167837,846.3572727272727,832.8920875079265,-13.465185219346267,0.8181818181818182,0.8083763625932301,-0.009805455588588141,4.285714285714286,4.261679292929293,-0.024034992784992326,0.0,0.025817555938037865,0.025817555938037865,0.8353185346844968,70.0,0.16706370693689937,1.5980613011678932,100.0,0.3196122602335787,-1.250897833585275,10.0,-0.18763467503779124,0.23125822499590717,50.0,0.03468873374938607,1.292190364575936,90.0,0.1292190364575936,1.9421051876204822,100.0,0.38842103752409646,0.851370099863763,58.51370099863763,0.8043996665398437,56.848418244324044,2,shrunk,0.869536853241224,High,52.13464023199985,54.99692698320705,58.10952633644889,2.0,5.0,18.0,2.3130700844096523,0.7633333333333333,16.0,5.974886104449034,52.13464023199985,5,"Compared with Electrical suppliers overall, this supplier stands out for a low reopen rate and fast completion times across 11 jobs. Above-peer costs reduced the score.",2-18
SUP-014,HVAC,Dallas,12,2.316666666666667,22.516666666666666,777.7908333333334,0.9166666666666666,11.0,4.444444444444445,9,0.25,3.0,132.0,5.03953488372093,27.969767441860466,791.6188372093023,0.8604651162790697,4.138888888888889,0.18604651162790697,43,5,5.765333333333333,29.305333333333333,790.2379999999999,0.8533333333333334,4.1640625,0.14666666666666667,75,14,1.0,category_region,category_region|HVAC|Dallas,HVAC suppliers in Dallas,5,43,5.03953488372093,27.969767441860466,791.6188372093023,0.8604651162790697,4.138888888888889,0.18604651162790697,2.316666666666667,3.405813953488372,1.0891472868217051,22.516666666666666,24.697906976744186,2.18124031007752,777.7908333333334,783.3220348837209,5.53120155038755,0.9166666666666666,0.891120507399577,-0.025546159267089585,4.444444444444445,4.3353174603174605,-0.10912698412698418,0.25,0.2209302325581395,-0.02906976744186049,1.8759953564208065,100.0,0.3751990712841613,1.7599622388213454,100.0,0.3519924477642691,0.31863065187669903,50.0,0.047794597781504855,0.7741312128932524,75.0,0.11611968193398785,1.560480775045232,100.0,0.1560480775045232,-1.2591596621370675,0.0,-0.25183193242741353,0.7953219438410327,57.95321943841033,0.816496580927726,56.493776478829965,3,shrunk,0.881393328887967,High,53.045859526179655,56.3533054446892,59.81128854214487,1.0,3.0,13.0,2.6655677022880173,0.8666666666666667,12.0,6.765429015965218,53.045859526179655,2,"Compared with HVAC suppliers in Dallas, this supplier stands out for fast response times and fast completion times across 12 jobs. A higher reopen rate reduced the score.",1-13
SUP-068,Pool,Phoenix,4,7.775,35.7,859.2725,1.0,4.0,4.0,4,0.0,0.0,10.0,7.529999999999999,37.005,909.7175,0.85,4.147058823529412,0.1,20,2,8.012676056338028,37.628169014084506,961.4967605633803,0.8028169014084507,4.206896551724138,0.1267605633802817,71,7,0.5,category,category|Pool,Pool suppliers overall,7,71,7.771338028169014,37.31658450704225,935.6071302816902,0.8264084507042253,4.176977687626775,0.11338028169014085,7.775,7.77255868544601,-0.0024413145539901038,35.7,36.777723004694835,1.0777230046948318,859.2725,910.1622535211268,50.88975352112675,1.0,0.8760060362173038,-0.12399396378269623,4.0,4.09832093757043,0.09832093757043037,0.0,0.08098591549295775,0.08098591549295775,0.5291663126432565,50.0,0.10583326252865131,0.6081103625999006,66.66666666666666,0.12162207251998013,0.7808490766041909,100.0,0.11712736149062863,2.072347107423136,100.0,0.3108520661134704,-0.5811771559152383,16.666666666666664,-0.05811771559152384,1.4442721898324893,83.33333333333334,0.28885443796649785,0.8861714850277045,58.861714850277046,0.6324555320336759,55.6046405803627,4,shrunk,0.6626024550518341,Medium,51.91367951062673,53.5202296076458,55.18068705621296,5.0,11.0,21.0,1.3200958852606348,0.4766666666666667,16.0,3.2670075455862317,51.91367951062673,6,"Compared with Pool suppliers overall, this supplier stands out for strong NTE compliance and a low reopen rate across 4 jobs. Weaker customer ratings reduced the score.",5-21
SUP-056,General,Dallas,7,5.942857142857143,29.114285714285717,402.2485714285714,1.0,7.0,4.166666666666667,6,0.14285714285714285,1.0,91.0,6.818518518518518,31.09259259259259,462.8892592592593,0.9629629629629629,4.1521739130434785,0.14814814814814814,27,6,7.4593750000000005,34.19479166666667,489.45593749999995,0.8541666666666666,4.145833333333333,0.125,96,17,1.0,category_region,category_region|General|Dallas,General suppliers in Dallas,6,27,6.818518518518518,31.09259259259259,462.8892592592593,0.9629629629629629,4.1521739130434785,0.14814814814814814,5.942857142857143,6.409876543209877,0.4670194003527337,29.114285714285717,30.16938271604938,1.055097001763663,402.2485714285714,434.59027160493827,32.341700176366885,1.0,0.9782135076252724,-0.02178649237472763,4.166666666666667,4.160079051383399,-0.006587615283267567,0.14285714285714285,0.14596949891067537,0.0031123560535325223,1.0911725003130281,80.0,0.21823450006260564,0.8951515665377848,80.0,0.17903031330755698,1.2859587969702315,100.0,0.19289381954553472,0.607854938807107,80.0,0.09117824082106604,0.04537290522390717,40.0,0.004537290522390717,0.12342408293893314,40.0,0.02468481658778663,0.7105589808469408,57.10558980846941,0.7337993857053428,55.214077436528996,5,shrunk,0.7869677616618594,High,52.25743747114529,54.184646196262676,56.48923273353076,3.0,8.0,19.0,1.6903325751225964,0.63,16.0,4.231795262385475,52.25743747114529,4,"Compared with General suppliers in Dallas, this supplier stands out for fast response times and cost efficiency across 7 jobs.",3-19
SUP-017,Plumbing,Charlotte,13,5.707692307692308,22.746153846153845,628.9038461538462,0.5384615384615384,7.0,4.05,10,0.07692307692307693,1.0,125.0,6.08,24.725,645.286,0.7,4.029411764705882,0.15,20,3,5.175,25.379310344827587,689.9685344827586,0.7931034482758621,4.080645161290323,0.11206896551724138,116,12,0.75,category,category|Plumbing,Plumbing suppliers overall,12,116,5.853750000000001,24.8885775862069,656.4566336206896,0.7232758620689654,4.042220113851992,0.14051724137931032,5.707692307692308,5.763333333333334,0.0556410256410258,22.746153846153845,23.56231527093596,0.8161614247821163,628.9038461538462,639.400146141215,10.496299987368843,0.5384615384615384,0.618815592203898,0.0803540537423596,4.05,4.047406704617331,-0.0025932953826686145,0.07692307692307693,0.1045727136431784,0.02764963672010147,0.9865345768996235,100.0,0.19730691537992473,1.1559001371840647,100.0,0.23118002743681296,0.8016077514483922,100.0,0.12024116271725883,-1.3782218990167017,0.0,-0.20673328485250525,0.2950904200244332,50.0,0.029509042002443323,1.2858234990749173,100.0,0.25716469981498347,0.6286685624989181,56.28668562498918,0.8271701918685112,55.20015895463931,6,shrunk,0.8419147403533352,High,49.95016052339336,54.27999293185508,56.044400773774115,4.0,8.0,38.0,2.3380580316481803,0.6333333333333333,34.0,6.094240250380757,49.95016052339336,20,"Compared with Plumbing suppliers overall, this supplier stands out for a low reopen rate and fast completion times across 13 jobs. Weaker NTE compliance reduced the score.",4-38
SUP-047,General,Atlanta,7,6.4142857142857155,35.6,417.2714285714286,0.8571428571428571,6.0,4.4,5,0.0,0.0,43.0,7.1230769230769235,34.63846153846154,496.4694871794872,0.7948717948717948,4.120689655172414,0.10256410256410256,39,6,7.4593750000000005,34.19479166666667,489.45593749999995,0.8541666666666666,4.145833333333333,0.125,96,17,1.0,category_region,category_region|General|Atlanta,General suppliers in Atlanta,6,39,7.1230769230769235,34.63846153846154,496.4694871794872,0.7948717948717948,4.120689655172414,0.10256410256410256,6.4142857142857155,6.792307692307692,0.3780219780219767,35.6,35.08717948717949,-0.512820512820511,417.2714285714286,459.5103931623932,42.2389645909646,0.8571428571428571,0.8205128205128205,-0.03663003663003661,4.4,4.260344827586207,-0.13965517241379377,0.0,0.060331825037707384,0.060331825037707384,0.9552024143953505,80.0,0.1910404828790701,-0.9840727034411467,20.0,-0.19681454068822934,1.2231789149709489,100.0,0.18347683724564232,0.40911121865484207,60.0,0.06136668279822631,2.2164430687705097,100.0,0.22164430687705097,1.107807807946062,100.0,0.22156156158921242,0.6822753307009728,56.82275330700973,0.7337993857053428,55.006532185502834,7,shrunk,0.7163948724966642,Medium,50.75800324810857,55.2215960200048,58.75731202270371,2.0,5.0,28.200000000000045,3.197890701162218,0.6966666666666667,26.200000000000045,7.999308774595136,50.75800324810857,10,"Compared with General suppliers in Atlanta, this supplier stands out for strong customer ratings and a low reopen rate across 7 jobs. Slower completion times reduced the score.",2-29
SUP-026,Plumbing,Denver,22,7.445454545454546,24.79090909090909,678.9527272727272,0.8636363636363636,19.0,4.333333333333333,18,0.045454545454545456,1.0,197.0,5.8,25.006666666666664,706.4504444444444,0.8222222222222222,4.1891891891891895,0.1111111111111111,45,4,5.175,25.379310344827587,689.9685344827586,0.7931034482758621,4.080645161290323,0.11206896551724138,116,12,1.0,category_region,category_region|Plumbing|Denver,Plumbing suppliers in Denver,4,45,5.8,25.006666666666664,706.4504444444444,0.8222222222222222,4.1891891891891895,0.1111111111111111,7.445454545454546,7.006666666666667,-0.4387878787878794,24.79090909090909,24.848444444444443,0.05753535353535355,678.9527272727272,686.2854518518519,7.332724579124715,0.8636363636363636,0.8506944444444444,-0.012941919191919227,4.333333333333333,4.301997649823737,-0.031335683509595924,0.045454545454545456,0.06597222222222222,0.020517676767676768,-1.5151153658136163,0.0,-0.30302307316272326,0.15287656291189947,66.66666666666666,0.030575312582379895,1.702181111967665,100.0,0.2553271667951498,1.2124683128874625,100.0,0.18187024693311937,1.3837319622024342,100.0,0.13837319622024344,1.2683506081038851,100.0,0.253670121620777,0.5567929709889463,55.56792970988946,0.8864052604279183,54.935442184538914,8,shrunk,0.7551840803626739,High,48.06584813239334,51.95241884528126,55.47124961993547,4.0,20.5,52.10000000000002,2.8256016816211957,0.2866666666666667,48.10000000000002,7.405401487542129,48.06584813239334,40,"Compared with Plumbing suppliers in Denver, this supplier stands out for cost efficiency and a low reopen rate across 22 jobs. Slower response times reduced the score.",4-53
SUP-062,Doors,Orlando,5,5.12,18.24,551.608,1.0,5.0,4.333333333333333,3,0.0,0.0,8.0,5.327272727272728,18.224242424242423,630.0839393939394,0.696969696969697,4.115384615384615,0.030303030303030304,33,6,5.4711864406779664,20.162711864406777,651.4357627118644,0.711864406779661,4.14,0.03389830508474576,59,9,1.0,category_region,category_region|Doors|Orlando,Doors suppliers in Orlando,6,33,5.327272727272728,18.224242424242423,630.0839393939394,0.696969696969697,4.115384615384615,0.030303030303030304,5.12,5.247552447552447,0.1275524475524472,18.24,18.230303030303027,-0.009696969696971536,551.608,599.9008857808858,48.292885780885854,1.0,0.797979797979798,-0.202020202020202,4.333333333333333,4.197115384615384,-0.1362179487179489,0.0,0.020202020202020204,0.020202020202020204,0.32969935499602704,80.0,0.06593987099920541,0.12427515695015805,60.0,0.02485503139003161,0.9085332787101084,80.0,0.13627999180651626,1.8168088990263993,100.0,0.2725213348539599,0.7427509236689885,80.0,0.07427509236689886,0.4904500231784262,60.0,0.09809000463568524,0.6719613260522972,56.71961326052297,0.674199862463242,54.530362336050764,9,shrunk,0.6811376803187693,Medium,52.36296209572514,53.65087989938773,54.908928889371225,5.0,10.0,17.0,0.9874189751367342,0.52,12.0,2.5459667936460875,52.36296209572514,3,"Compared with Doors suppliers in Orlando, this supplier stands out for strong NTE compliance and cost efficiency across 5 jobs.",5-17
SUP-001,HVAC,Dallas,5,5.26,31.3,730.394,1.0,5.0,4.333333333333333,3,0.0,0.0,60.0,5.03953488372093,27.969767441860466,791.6188372093023,0.8604651162790697,4.138888888888889,0.18604651162790697,43,5,5.765333333333333,29.305333333333333,790.2379999999999,0.8533333333333334,4.1640625,0.14666666666666667,75,14,1.0,category_region,category_region|HVAC|Dallas,HVAC suppliers in Dallas,5,43,5.03953488372093,27.969767441860466,791.6188372093023,0.8604651162790697,4.138888888888889,0.18604651162790697,5.26,5.124329159212881,-0.13567084078711922,31.3,29.25062611806798,-2.04937388193202,730.394,768.0708228980322,37.67682289803224,1.0,0.9069767441860465,-0.09302325581395354,4.333333333333333,4.211805555555555,-0.12152777777777768,0.0,0.12403100775193798,0.12403100775193798,-0.1061685614563028,50.0,-0.02123371229126056,-0.681594728099888,25.0,-0.1363189456199776,1.364197192354115,100.0,0.20462957885311725,1.269522347423921,100.0,0.19042835211358813,0.5676081028888611,75.0,0.05676081028888611,1.7238598682531248,100.0,0.34477197365062495,0.6390380569949783,56.390380569949784,0.674199862463242,54.30839370134792,10,shrunk,0.6642368142763744,Medium,50.567349312584966,52.67825851128339,54.37700121828086,7.0,15.0,30.100000000000023,1.460270060000887,0.26666666666666666,23.100000000000023,3.809651905695894,50.567349312584966,13,"Compared with HVAC suppliers in Dallas, this supplier stands out for a low reopen rate and cost efficiency across 5 jobs. Slower completion times reduced the score.",7-31
