category,region,market_rank,supplier_id,score_overall,confidence_label,jobs_observed,rank_range,short_explanation
Doors,Houston,1,SUP-063,43.02008354699444,High,24,52-68,"Compared with Doors suppliers overall, this supplier stands out for strong NTE compliance and strong customer ratings across 24 jobs. A higher reopen rate reduced the score."
Doors,Nashville,1,SUP-058,52.20328727380316,Low,1,15-27,"Compared with Doors suppliers overall, this supplier stands out for fast response times and a low reopen rate across 1 jobs. Confidence is lower because the observed history is limited."
Doors,Nashville,2,SUP-060,50.74626577015046,Low,1,27-41,"Compared with Doors suppliers overall, this supplier stands out for fast completion times and a low reopen rate across 1 jobs. Weaker NTE compliance reduced the score. Confidence is lower because the observed history is limited."
Doors,Orlando,1,SUP-062,54.530362336050764,Medium,5,5-17,"Compared with Doors suppliers in Orlando, this supplier stands out for strong NTE compliance and cost efficiency across 5 jobs."
Doors,Orlando,2,SUP-061,53.50248777933665,High,9,4-35,"Compared with Doors suppliers in Orlando, this supplier stands out for strong customer ratings and a low reopen rate across 9 jobs. Above-peer costs reduced the score."
Doors,Orlando,3,SUP-066,50.4439143633203,Low,2,26-39,"Compared with Doors suppliers in Orlando, this supplier stands out for cost efficiency and a low reopen rate across 2 jobs. Weaker NTE compliance reduced the score. Confidence is lower because the observed history is limited."
Electrical,Atlanta,1,SUP-039,52.3786614372586,Low,3,6-51,"Compared with Electrical suppliers overall, this supplier stands out for strong NTE compliance and cost efficiency across 3 jobs. Weaker customer ratings reduced the score. Confidence is lower because the observed history is limited."
Electrical,Atlanta,2,SUP-031,49.591694696290055,Low,1,33-49,"Compared with Electrical suppliers overall, this supplier stands out for cost efficiency and strong NTE compliance across 1 jobs. Slower response times reduced the score. Confidence is lower because the observed history is limited."
Electrical,Atlanta,3,SUP-035,49.19924128437964,High,21,14-62,"Compared with Electrical suppliers overall, this supplier stands out for cost efficiency and fast completion times across 21 jobs. Slower response times reduced the score."
Electrical,Dallas,1,SUP-033,50.51749477489468,Low,1,25-36,"Compared with Electrical suppliers overall, this supplier stands out for fast response times and fast completion times across 1 jobs. Weaker NTE compliance reduced the score. Customer-rating evidence is unavailable in this sample."
Electrical,Dallas,2,SUP-028,50.2855986445972,Medium,5,15-52,"Compared with Electrical suppliers overall, this supplier stands out for fast response times and strong NTE compliance across 5 jobs. Slower completion times reduced the score."
Electrical,Dallas,3,SUP-038,50.15001510941008,Low,2,21-45,"Compared with Electrical suppliers overall, this supplier stands out for fast response times and fast completion times across 2 jobs. Weaker NTE compliance reduced the score. Confidence is lower because the observed history is limited."
Electrical,Orlando,1,SUP-037,47.96324314111875,Medium,10,18-66,"Compared with Electrical suppliers overall, this supplier stands out for strong NTE compliance across 10 jobs. Above-peer costs reduced the score."
Electrical,Orlando,2,SUP-034,44.286787300544844,Medium,4,56-66,"Compared with Electrical suppliers overall, this supplier stands out for strong customer ratings across 4 jobs. Slower completion times reduced the score."
Electrical,Orlando,3,SUP-032,44.112680372216396,High,21,44-68,"Compared with Electrical suppliers overall, this supplier stands out for strong customer ratings across 21 jobs. Slower completion times reduced the score."
Electrical,Phoenix,1,SUP-030,56.848418244324044,High,11,2-18,"Compared with Electrical suppliers overall, this supplier stands out for a low reopen rate and fast completion times across 11 jobs. Above-peer costs reduced the score."
Electrical,Phoenix,2,SUP-029,53.50827740657847,Medium,4,9-27,"Compared with Electrical suppliers overall, this supplier stands out for a low reopen rate and fast completion times across 4 jobs. Above-peer costs reduced the score."
General,Atlanta,1,SUP-047,55.006532185502834,Medium,7,2-29,"Compared with General suppliers in Atlanta, this supplier stands out for strong customer ratings and a low reopen rate across 7 jobs. Slower completion times reduced the score."
General,Atlanta,2,SUP-045,52.02982028037512,Medium,3,12-29,"Compared with General suppliers in Atlanta, this supplier stands out for fast response times and a low reopen rate across 3 jobs. Slower completion times reduced the score."
General,Atlanta,3,SUP-042,51.10518418794025,High,14,6-58,"Compared with General suppliers in Atlanta, this supplier stands out for strong NTE compliance and fast completion times across 14 jobs. A higher reopen rate reduced the score."
General,Charlotte,1,SUP-050,49.29099182640238,Low,3,17-55,"Compared with General suppliers overall, this supplier stands out for strong NTE compliance and cost efficiency across 3 jobs. A higher reopen rate reduced the score. Confidence is lower because the observed history is limited."
